id,agent,level,old_risk_score,new_risk_score,old_correlation_score,new_correlation_score,old_priority,new_priority,old_status,new_status,changed_fields,matched_chain_count,cap,rule
4,wazuh.manager,3,25,20,25,20,LOW,LOW,NEW,NEW,"risk_score,correlation_score",0,25,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure mounting of squashfs filesystems is disabled.
5,wazuh.manager,3,35,25,35,25,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,25,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure mounting of udf filesystems is disabled.
6,wazuh.manager,3,80,25,80,25,HIGH,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,25,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure /tmp is a separate partition.
8,wazuh.manager,3,85,25,85,25,CRITICAL,LOW,ESCALATED,ESCALATED,"risk_score,correlation_score,recommended_priority",0,25,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure noexec option set on /tmp partition.
9,wazuh.manager,3,85,25,85,25,CRITICAL,LOW,ESCALATED,ESCALATED,"risk_score,correlation_score,recommended_priority",0,25,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure nosuid option set on /tmp partition.
10,wazuh.manager,3,85,25,85,25,CRITICAL,LOW,ESCALATED,ESCALATED,"risk_score,correlation_score,recommended_priority",0,25,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure separate partition exists for /var.
11,wazuh.manager,3,85,25,85,25,CRITICAL,LOW,ESCALATED,ESCALATED,"risk_score,correlation_score,recommended_priority",0,25,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure nodev option set on /var partition.
12,wazuh.manager,3,85,25,85,25,CRITICAL,LOW,ESCALATED,ESCALATED,"risk_score,correlation_score,recommended_priority",0,25,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure nosuid option set on /var partition.
13,wazuh.manager,3,85,25,85,25,CRITICAL,LOW,ESCALATED,ESCALATED,"risk_score,correlation_score,recommended_priority",0,25,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure separate partition exists for /var/tmp.
14,wazuh.manager,3,25,20,25,20,LOW,LOW,NEW,NEW,"risk_score,correlation_score",0,25,CIS Benchmark for Amazon Linux 2023 Benchmark v1.0.0.: Ensure mounting of squashfs filesystems is disabled.
